Geography Type,Geography Name,Year, Population , Households ,Persons Per Household (PPH)
County,Lake of the Woods,2020,"  3,763 ","  1,745 ",N/A
County,Le Sueur,2020,"  28,674 ","  11,287 ",N/A
County,Lincoln,2020,"  5,640 ","  2,452 ",N/A
County,Lyon,2020,"  25,269 ","  10,137 ",N/A
County,Mahnomen,2020,"  5,411 ","  2,014 ",N/A
County,Marshall,2020,"  9,040 ","  3,836 ",N/A
County,Martin,2020,"  20,025 ","  8,748 ",N/A
County,McLeod,2020,"  36,771 ","  15,004 ",N/A
County,Meeker,2020,"  23,400 ","  9,263 ",N/A
County,Mille Lacs,2020,"  26,459 ","  10,593 ",N/A
County,Morrison,2020,"  34,010 ","  13,688 ",N/A
County,Mower,2020,"  40,029 ","  15,700 ",N/A
County,Murray,2020,"  8,179 ","  3,581 ",N/A
County,Nicollet,2020,"  34,454 ","  12,728 ",N/A
County,Nobles,2020,"  22,290 ","  7,851 ",N/A
County,Norman,2020,"  6,441 ","  2,733 ",N/A
County,Olmsted,2020,"  162,847 ","  65,242 ",N/A
County,Otter Tail,2020,"  60,081 ","  25,123 ",N/A
County,Pennington,2020,"  13,992 ","  6,077 ",N/A
County,Pine,2020,"  28,876 ","  11,442 ",N/A
County,Pipestone,2020,"  9,424 ","  3,948 ",N/A
County,Polk,2020,"  31,192 ","  12,534 ",N/A
County,Pope,2020,"  11,308 ","  4,862 ",N/A
County,Ramsey,2020,"  552,352 ","  218,077 ",N/A
County,Red Lake,2020,"  3,935 ","  1,653 ",N/A
County,Redwood,2020,"  15,425 ","  6,318 ",N/A
County,Renville,2020,"  14,723 ","  6,153 ",N/A
County,Rice,2020,"  67,097 ","  23,416 ",N/A
County,Rock,2020,"  9,704 ","  3,892 ",N/A
County,Roseau,2020,"  15,331 ","  6,340 ",N/A
County,Scott,2020,"  150,928 ","  52,645 ",N/A
County,Sherburne,2020,"  97,183 ","  34,035 ",N/A
County,Sibley,2020,"  14,836 ","  5,989 ",N/A
County,St. Louis,2020,"  200,231 ","  86,540 ",N/A
County,Stearns,2020,"  158,292 ","  60,448 ",N/A
County,Steele,2020,"  37,406 ","  14,823 ",N/A
County,Stevens,2020,"  9,671 ","  3,697 ",N/A
County,Swift,2020,"  9,838 ","  4,064 ",N/A
County,Todd,2020,"  25,262 ","  9,898 ",N/A
County,Traverse,2020,"  3,360 ","  1,439 ",N/A
County,Wabasha,2020,"  21,387 ","  8,923 ",N/A
County,Wadena,2020,"  14,065 ","  5,815 ",N/A
County,Waseca,2020,"  18,968 ","  7,387 ",N/A
County,Washington,2020,"  267,568 ","  99,507 ",N/A
County,Watonwan,2020,"  11,253 ","  4,476 ",N/A
County,Wilkin,2020,"  6,506 ","  2,735 ",N/A
County,Winona,2020,"  49,671 ","  20,111 ",N/A
County,Wright,2020,"  141,337 ","  50,509 ",N/A
County,Yellow Medicine,2020,"  9,528 ","  4,040 ",N/A
State,Minnesota,2019,"  5,680,337 ","  2,243,573 ",2.47
EDR,01 (Northwest),2019,"  85,159 ","  35,690 ",2.33
EDR,02 (Headwaters),2019,"  86,813 ","  34,712 ",2.43
EDR,03 (Arrowhead),2019,"  325,193 ","  140,480 ",2.23
EDR,04 (West Central),2019,"  232,451 ","  96,619 ",2.34
EDR,05 (North Central),2019,"  166,805 ","  69,343 ",2.37
EDR,06E (Southwest Central),2019,"  117,000 ","  47,624 ",2.41
EDR,06W (Upper MN Valley),2019,"  42,576 ","  18,705 ",2.22
EDR,07E (East Central),2019,"  169,242 ","  64,377 ",2.56
EDR,07W (Central),2019,"  437,157 ","  159,314 ",2.67
EDR,08 (Southwest),2019,"  116,250 ","  48,168 ",2.36
EDR,09 (South Central),2019,"  234,721 ","  95,118 ",2.36
EDR,10 (Southeast),2019,"  514,406 ","  205,040 ",2.42
EDR,11 (7 County Twin Cities),2019,"  3,152,564 ","  1,228,383 ",2.52
County,Aitkin,2019,"  15,870 ","  7,446 ",2.10
County,Anoka,2019,"  362,648 ","  132,301 ",2.71
County,Becker,2019,"  34,545 ","  14,231 ",2.39
County,Beltrami,2019,"  47,184 ","  18,172 ",2.49
County,Benton,2019,"  40,895 ","  16,420 ",2.43
County,Big Stone,2019,"  4,993 ","  2,237 ",2.17
County,Blue Earth,2019,"  68,583 ","  27,067 ",2.38
County,Brown,2019,"  25,119 ","  10,936 ",2.20
County,Carlton,2019,"  35,935 ","  13,839 ",2.45
County,Carver,2019,"  107,179 ","  38,419 ",2.77
County,Cass,2019,"  29,754 ","  12,673 ",2.33
County,Chippewa,2019,"  11,858 ","  5,138 ",2.26
County,Chisago,2019,"  56,613 ","  20,714 ",2.65
County,Clay,2019,"  64,591 ","  25,296 ",2.44
County,Clearwater,2019,"  8,808 ","  3,618 ",2.41
County,Cook,2019,"  5,462 ","  2,707 ",2.00
County,Cottonwood,2019,"  11,216 ","  4,811 ",2.28
County,Crow Wing,2019,"  65,274 ","  27,532 ",2.34
County,Dakota,2019,"  433,302 ","  166,351 ",2.59
County,Dodge,2019,"  20,943 ","  7,904 ",2.63
County,Douglas,2019,"  38,220 ","  16,713 ",2.26
County,Faribault,2019,"  13,580 ","  6,140 ",2.18
County,Fillmore,2019,"  21,060 ","  8,731 ",2.37
County,Freeborn,2019,"  30,364 ","  13,101 ",2.27
County,Goodhue,2019,"  46,449 ","  19,388 ",2.35
County,Grant,2019,"  5,967 ","  2,656 ",2.22
County,Hennepin,2019,"  1,279,981 ","  525,738 ",2.38
County,Houston,2019,"  18,626 ","  8,041 ",2.28
County,Hubbard,2019,"  21,494 ","  9,182 ",2.32
County,Isanti,2019,"  40,566 ","  15,208 ",2.64
County,Itasca,2019,"  45,203 ","  19,397 ",2.28
County,Jackson,2019,"  9,858 ","  4,398 ",2.22
County,Kanabec,2019,"  16,310 ","  6,484 ",2.48
County,Kandiyohi,2019,"  43,193 ","  17,209 ",2.45
County,Kittson,2019,"  4,299 ","  1,930 ",2.17
County,Koochiching,2019,"  12,430 ","  5,770 ",2.11
County,Lac qui Parle,2019,"  6,629 ","  3,030 ",2.14
County,Lake,2019,"  10,632 ","  4,901 ",2.13
County,Lake of the Woods,2019,"  3,798 ","  1,730 ",2.16
County,Le Sueur,2019,"  28,894 ","  11,273 ",2.54
County,Lincoln,2019,"  5,648 ","  2,519 ",2.19
County,Lyon,2019,"  25,635 ","  10,360 ",2.39
County,Mahnomen,2019,"  5,529 ","  2,010 ",2.71
County,Marshall,2019,"  9,342 ","  3,980 ",2.33
County,Martin,2019,"  19,752 ","  8,852 ",2.19
County,McLeod,2019,"  35,963 ","  14,824 ",2.39
County,Meeker,2019,"  23,256 ","  9,324 ",2.46
County,Mille Lacs,2019,"  26,227 ","  10,388 ",2.48
County,Morrison,2019,"  33,368 ","  13,395 ",2.45
County,Mower,2019,"  40,124 ","  16,001 ",2.47
County,Murray,2019,"  8,222 ","  3,649 ",2.21
County,Nicollet,2019,"  34,323 ","  13,024 ",2.42
County,Nobles,2019,"  21,976 ","  8,112 ",2.66
County,Norman,2019,"  6,367 ","  2,739 ",2.29
County,Olmsted,2019,"  160,431 ","  64,491 ",2.45
County,Otter Tail,2019,"  58,734 ","  24,862 ",2.32
County,Pennington,2019,"  14,355 ","  6,172 ",2.27
County,Pine,2019,"  29,526 ","  11,583 ",2.41
County,Pipestone,2019,"  9,132 ","  4,002 ",2.23
County,Polk,2019,"  31,524 ","  12,879 ",2.35
County,Pope,2019,"  11,139 ","  4,931 ",2.23
County,Ramsey,2019,"  558,248 ","  216,654 ",2.50
County,Red Lake,2019,"  4,030 ","  1,745 ",2.30
County,Redwood,2019,"  15,204 ","  6,420 ",2.31
County,Renville,2019,"  14,588 ","  6,267 ",2.27
County,Rice,2019,"  66,853 ","  23,709 ",2.51
County,Rock,2019,"  9,359 ","  3,897 ",2.33
County,Roseau,2019,"  15,242 ","  6,245 ",2.41
County,Scott,2019,"  148,458 ","  50,706 ",2.90
County,Sherburne,2019,"  97,520 ","  33,188 ",2.87
County,Sibley,2019,"  14,899 ","  5,998 ",2.45
County,St. Louis,2019,"  199,661 ","  86,420 ",2.21
County,Stearns,2019,"  160,211 ","  60,587 ",2.53
County,Steele,2019,"  37,112 ","  14,723 ",2.48
County,Stevens,2019,"  9,766 ","  3,741 ",2.36
County,Swift,2019,"  9,367 ","  4,166 ",2.21
County,Todd,2019,"  24,665 ","  9,947 ",2.45
County,Traverse,2019,"  3,263 ","  1,476 ",2.14
County,Wabasha,2019,"  21,614 ","  8,984 ",2.38
County,Wadena,2019,"  13,744 ","  5,796 ",2.29
County,Waseca,2019,"  18,648 ","  7,335 ",2.41
County,Washington,2019,"  262,748 ","  98,214 ",2.64
County,Watonwan,2019,"  10,923 ","  4,493 ",2.40
County,Wilkin,2019,"  6,226 ","  2,713 ",2.24
County,Winona,2019,"  50,830 ","  19,967 ",2.35
County,Wright,2019,"  138,531 ","  49,119 ",2.80
County,Yellow Medicine,2019,"  9,729 ","  4,134 ",2.28
State,Minnesota,2018,"  5,629,416 ","  2,221,628 ",2.47
EDR,01 (Northwest),2018,"  85,359 ","  35,653 ",2.34
EDR,02 (Headwaters),2018,"  86,326 ","  34,509 ",2.43
EDR,03 (Arrowhead),2018,"  325,881 ","  140,139 ",2.23
EDR,04 (West Central),2018,"  231,469 ","  95,907 ",2.35
EDR,05 (North Central),2018,"  165,997 ","  68,806 ",2.38
EDR,06E (Southwest Central),2018,"  116,726 ","  47,404 ",2.41
EDR,06W (Upper MN Valley),2018,"  42,810 ","  18,714 ",2.23
EDR,07E (East Central),2018,"  167,670 ","  63,725 ",2.56
EDR,07W (Central),2018,"  432,428 ","  157,035 ",2.68
EDR,08 (Southwest),2018,"  116,707 ","  48,171 ",2.36
EDR,09 (South Central),2018,"  233,924 ","  94,674 ",2.36
EDR,10 (Southeast),2018,"  510,781 ","  202,911 ",2.43
EDR,11 (7 County Twin Cities),2018,"  3,113,338 ","  1,213,980 ",2.52
County,Aitkin,2018,"  15,896 ","  7,359 ",2.12
County,Anoka,2018,"  357,851 ","  130,596 ",2.71
County,Becker,2018,"  34,420 ","  14,165 ",2.40
County,Beltrami,2018,"  46,834 ","  18,039 ",2.48
County,Benton,2018,"  40,452 ","  16,194 ",2.43
County,Big Stone,2018,"  5,000 ","  2,239 ",2.17
County,Blue Earth,2018,"  67,785 ","  26,768 ",2.38
County,Brown,2018,"  25,325 ","  10,923 ",2.22
County,Carlton,2018,"  35,923 ","  13,780 ",2.46
County,Carver,2018,"  105,970 ","  37,792 ",2.78
County,Cass,2018,"  29,470 ","  12,552 ",2.33
County,Chippewa,2018,"  11,965 ","  5,140 ",2.28
County,Chisago,2018,"  55,955 ","  20,467 ",2.65
County,Clay,2018,"  63,963 ","  24,969 ",2.45
County,Clearwater,2018,"  8,815 ","  3,608 ",2.41
County,Cook,2018,"  5,390 ","  2,667 ",2.00
County,Cottonwood,2018,"  11,293 ","  4,806 ",2.30
County,Crow Wing,2018,"  64,975 ","  27,313 ",2.35
County,Dakota,2018,"  428,558 ","  164,174 ",2.59
County,Dodge,2018,"  20,842 ","  7,842 ",2.64
County,Douglas,2018,"  38,041 ","  16,495 ",2.27
County,Faribault,2018,"  13,649 ","  6,132 ",2.19
County,Fillmore,2018,"  21,063 ","  8,683 ",2.38
County,Freeborn,2018,"  30,495 ","  13,110 ",2.28
County,Goodhue,2018,"  46,540 ","  19,277 ",2.37
County,Grant,2018,"  5,975 ","  2,641 ",2.24
County,Hennepin,2018,"  1,261,104 ","  519,173 ",2.38
County,Houston,2018,"  18,659 ","  8,000 ",2.30
County,Hubbard,2018,"  21,350 ","  9,124 ",2.32
County,Isanti,2018,"  39,932 ","  14,955 ",2.64
County,Itasca,2018,"  45,191 ","  19,321 ",2.28
County,Jackson,2018,"  9,934 ","  4,399 ",2.23
County,Kanabec,2018,"  16,213 ","  6,446 ",2.48
County,Kandiyohi,2018,"  42,924 ","  17,088 ",2.45
